	kommunenr	kommune	lat	lon	lat_lon
431	2011	Kautokeino	69.01151	23.04151	69.01151,23.04151
432	2012	Alta	69.97675	23.29634	69.97675,23.29634
433	2014	Loppa	70.23952	22.35136	70.23952,22.35136
434	2015	Hasvik	70.59164	22.30272	70.59164,22.30272
435	2017	Kvalsund	70.4991	23.97393	70.4991,23.97393
436	2018	Måsøy	70.99654	24.66146	70.99654,24.66146
437	2019	Nordkapp	70.97808	25.974729999999997	70.97808,25.97473
438	2020	Porsanger	70.05214000000001	24.955920000000003	70.05214,24.95592
439	2021	Karasjok	69.47224	25.51885	69.47224,25.51885
440	2022	Lebesby	70.94535	27.351340000000004	70.94535,27.35134
441	2023	Gamvik	71.04106999999999	27.851440000000004	71.04107,27.85144
442	2024	Berlevåg	70.85809	29.0853	70.85809,29.0853
443	2025	Tana	70.19976	28.18494	70.19976,28.18494
444	2027	Nesseby	70.17278	28.555979999999998	70.17278,28.55598
445	2028	Båtsfjord	70.63506	29.721490000000003	70.63506,29.72149
446	2030	Sør-Varanger	69.72859	30.042640000000002	69.72859,30.04264
447	2111	Spitsbergen	78.2222	15.6315	78.2222,15.6315
448	2121	Bjørnøya	74.5036	18.9967	74.5036,18.9967
449	2131	Hopen	76.5097	25.0132	76.5097,25.0132
450	2211	Jan Mayen	70.9221	-8.7187	70.9221,-8.7187
